id;project_name;project_manager;team_size
1;contextually-based Home Loan Account Books;Stand-alone;69499
2;Bahrain parsing;Infrastructure Illinois;3599
3;Tasty Soft Tuna Kansas;Garden Checking Account;97263
4;Regional;system e-services Soft;68990
5;Sleek redefine digital;Pre-emptive;48090
6;world-class digital;SMTP Berkshire Alley;36549
7;action-items;solution;10390
8;Supervisor Buckinghamshire ROI;turquoise;66503
9;Licensed Fresh Pants Fresh Corners;Buckinghamshire Azerbaijanian Manat;48631
10;Soft Optional Kwacha;Tennessee iterate Intelligent;46216
